alg,seed,fitness,theta,gens,time_sec,pop_size,w,c1,c2
PSO,0,2.580651807876031,"[-0.001594566533663898, 0.0018896152631515842, -0.9502798865609376, 0.9518883007183027, -0.0017766674729858326, -0.9435856152459006]",50,0.01,10,0.4,1.0,1.0
PSO,1,1.3236760905831138,"[0.007312306662531427, 0.047016538725122924, 0.011227441469406246, 0.030258992441519354, -0.36310971867297687, 0.08030062605595521]",50,0.01,10,0.4,1.0,1.0
PSO,2,3.2894951724090764,"[0.001590358630333926, 0.9729256842794445, 0.985713923137227, -0.9644428112570882, 0.9687656982408207, -0.9701480970512556]",50,0.01,10,0.4,1.0,1.0
PSO,3,3.668316773133047,"[0.018441530643770854, -1.971383380318218, 1.029174979068531, 0.013600708845574336, -0.009288978360204142, -0.8951646641302629]",50,0.01,10,0.4,1.0,1.0
PSO,4,2.1225311210381403,"[-0.005991398383849942, 0.9406155372289797, 0.0035656905005365135, 0.01073395590851125, -0.010023395768775683, 0.9381988479277177]",50,0.01,10,0.4,1.0,1.0
PSO,0,1.5021206136393492,"[0.000626193777074571, 0.0003955611902307105, -0.00012532051822289241, 0.9099124756737467, 0.00368344334539818, -0.004681308823638496]",50,0.01,10,0.4,1.0,1.5
PSO,1,0.12413155849893487,"[-0.000677437907872986, -0.0023695373089367977, 0.057910064741484246, 0.0018322540024981466, 0.001037781010999896, 0.001450660111091032]",50,0.01,10,0.4,1.0,1.5
PSO,2,0.00918562424842806,"[8.82827142907356e-05, 5.251320036641414e-05, -0.00024081987249095275, -3.2805211179066145e-06, -0.0010783726239955846, -0.005348938156583932]",50,0.01,10,0.4,1.0,1.5
PSO,3,1.6067396454520702,"[-0.0016386080391472024, -0.7801783310646873, 0.002454349810745575, 0.034772292263022885, 0.04536248610472127, -0.0024073665496960536]",50,0.01,10,0.4,1.0,1.5
PSO,4,4.885056230167283,"[-0.9770936522517466, 1.958897626566272, -0.9891017452022495, -1.959262326759207, 0.9793969827374555, -0.9767987610708371]",50,0.01,10,0.4,1.0,1.5
PSO,0,2.168159897205094,"[0.04956152404430244, 0.02083786326678214, -0.004337498550137956, 0.940872853102348, 0.04465912651425025, -0.9580929240880278]",50,0.01,10,0.4,1.5,1.0
PSO,1,1.5196221242852208,"[0.0007751970169371775, -0.029182054877061613, 0.01791700894148323, 0.009662502317315, -0.885830731275082, 0.01739109844964844]",50,0.01,10,0.4,1.5,1.0
PSO,2,2.6049873876867733,"[0.007227954069413379, 0.033892994758580916, 0.9807791990462718, -0.9597616240888834, 0.9776671704553084, -0.011649846477109585]",50,0.01,10,0.4,1.5,1.0
PSO,3,3.294132291985886,"[0.9406272191436699, -0.9675133136160499, 0.964920184405123, -0.9422429409055452, -0.9619002591215741, -0.003880077317564169]",50,0.01,10,0.4,1.5,1.0
PSO,4,2.2420969160135304,"[-0.05668884639869199, 0.9587210017375996, 0.022122490239375656, -0.004454386768799068, 0.03877181214868397, 0.8370624247770533]",50,0.01,10,0.4,1.5,1.0
PSO,0,0.03452069721525719,"[-0.004718564354358237, -0.003609195974901323, 0.00298631705728323, -0.004634164618992317, 0.01734561297745072, -0.0003710316269231429]",50,0.01,10,0.4,1.5,1.5
PSO,1,1.5023488753233427,"[-0.0013990060301650835, 0.0008958904606008645, -6.997185836529274e-05, -0.0037290179831766337, -0.899907395580087, -0.0016685046508495957]",50,0.01,10,0.4,1.5,1.5
PSO,2,0.007881293909655529,"[-0.0005246133704475028, 8.302993666054143e-05, -4.0869366586644224e-05, -0.004635985286782597, -0.00042193847967894794, -0.000437688600426635]",50,0.01,10,0.4,1.5,1.5
PSO,3,0.09507494824186624,"[0.0019378986797696583, 0.008339046228738697, -0.0015956461191383965, 0.045665510234551114, -0.0016181445405032769, 0.001974879638975731]",50,0.01,10,0.4,1.5,1.5
PSO,4,0.02779857895673432,"[-0.0011850895329112146, 0.00186043219585573, 0.013171883100762448, 0.007934728981210778, -0.0008233137513726676, -0.0020176662743061073]",50,0.01,10,0.4,1.5,1.5
PSO,0,2.580890968927268,"[-0.0008810879464079542, -0.9573480161348277, 0.944508911542838, -0.003281706420709906, -0.9540442699869915, -0.0029084405167629423]",50,0.01,10,0.7,1.0,1.0
PSO,1,0.003063691612471775,"[0.0001976806261623856, -0.0007863112588345996, 6.084231191715137e-05, -0.001228573906461865, 0.0006483685486776839, -0.0009268112740539335]",50,0.01,10,0.7,1.0,1.0
PSO,2,0.03516550305698418,"[0.0034657370981636126, -0.0015118358998332977, 0.010608624301145356, -0.013123813377063762, 0.008834441204428433, -0.001467574295815119]",50,0.01,10,0.7,1.0,1.0
PSO,3,0.035521483728850445,"[0.007289434040446321, -0.014789869768400554, 0.0053283992339453285, -0.006856981660815688, -0.003973028444514529, 0.004821136864402249]",50,0.01,10,0.7,1.0,1.0
PSO,4,0.00909929710409374,"[-0.0024620110800271477, -0.0007467409273427851, -0.0027831938588609604, 0.002219688171880869, 0.001597978409121009, -0.0027301601647562856]",50,0.01,10,0.7,1.0,1.0
PSO,0,0.0865147689234047,"[-0.005280042080341191, 0.011110736988787832, 0.003198666272645482, -0.038033572842657494, -0.010923772472261048, 0.011019789187830788]",50,0.01,10,0.7,1.0,1.5
PSO,1,1.5194903530673796,"[-0.012372573204759376, 0.0030049805756913878, -0.9357130325208348, -0.00562907478430167, 0.023840355893616882, 0.022494185063326032]",50,0.01,10,0.7,1.0,1.5
PSO,2,0.07790520141136925,"[-0.008748746648519627, -0.007478978032675696, -0.012825198044418158, 0.003012849850703027, 0.02919639057833945, -0.019717083203754857]",50,0.01,10,0.7,1.0,1.5
PSO,3,0.1550224419501487,"[-0.013912650726392327, -0.002211506019720824, -0.018582024332471705, 0.017751924394718593, -0.004680617070260795, -0.06262981992348084]",50,0.01,10,0.7,1.0,1.5
PSO,4,0.20759276258567683,"[0.08166372189836339, 0.01210834597550562, 0.00757028432499016, -0.0152021395823797, 0.022054031288637657, 0.0018632125064278644]",50,0.01,10,0.7,1.0,1.5
PSO,0,0.021431024717607716,"[-0.00775971266826482, 0.005463234832283672, 0.0061012839170270705, -0.002119872297680337, 0.004265428099524568, 0.0011638288125662725]",50,0.01,10,0.7,1.5,1.0
PSO,1,0.04450751677871567,"[-0.0030077678506258325, 0.0021479393471890637, -0.008430597226158649, -0.015887635576480187, 0.003866944823639258, 0.015127264544972952]",50,0.01,10,0.7,1.5,1.0
PSO,2,0.11761452931405048,"[-0.026052501722237564, 0.03623040465448356, 0.017389796600056445, -0.003967487706494714, 0.022972135922252772, -0.015393006749432598]",50,0.01,10,0.7,1.5,1.0
PSO,3,0.5075466046009258,"[0.01310594166078037, 0.08188582306638413, 0.14369947171128344, 0.03232079839053324, 0.007802492766245847, 0.009355684537800373]",50,0.01,10,0.7,1.5,1.0
PSO,4,0.01616618493677935,"[0.00021162175667271738, -0.003371374580496367, -0.006914093089567272, -0.0053702163572727285, -0.0007892399979610443, 0.00012809449406399331]",50,0.01,10,0.7,1.5,1.0
PSO,0,0.14400183240527697,"[-0.035757733060751584, 9.059948052989042e-06, -0.0010419207238978392, -0.0543183598228936, 0.006021197092165975, -0.0012561902664711133]",50,0.01,10,0.7,1.5,1.5
PSO,1,0.07494279424849326,"[-0.00039338740571972543, -0.0067662125723640856, 0.010772460230876676, 0.004175023248337411, 0.0350550120572992, -0.0063708681849001265]",50,0.01,10,0.7,1.5,1.5
PSO,2,0.6619738211560784,"[-0.017167254081304654, -0.039540645716200834, 0.01531963162303801, -0.06259849283479602, -0.10805614888939283, -0.1552963539958157]",50,0.01,10,0.7,1.5,1.5
PSO,3,0.9270128801171258,"[-0.12401798558412168, -0.17969645582094307, 0.040170926370584475, 0.09464427793453359, 0.09524749271015848, -0.009472235489539294]",50,0.01,10,0.7,1.5,1.5
PSO,4,0.47983825282772274,"[-0.09186028535411023, 0.05768859809005695, -0.0007057365283597294, 0.08312239223267091, -0.00345084074433874, 0.08565503304583401]",50,0.01,10,0.7,1.5,1.5
PSO,0,0.0011029963383362151,"[0.0005159502367123429, -9.58321712103619e-05, 1.428089510457483e-05, 7.596030789362657e-05, -4.2121370078413375e-06, -0.0004141566504956841]",50,0.02,30,0.4,1.0,1.0
PSO,1,1.5017497423503383,"[-6.766462742601354e-05, -0.9078051026844297, -3.624556075058492e-05, 0.0005681287048203455, -2.6612836635502293e-05, 5.8444320485019855e-05]",50,0.02,30,0.4,1.0,1.0
PSO,2,2.5799337549171573,"[-3.264788617831741e-05, -0.9524579897154425, 0.9518179564727367, 0.0004733310769594871, 0.0004961164129188222, 0.9520800129271941]",50,0.02,30,0.4,1.0,1.0
PSO,3,2.406847874469875e-05,"[-7.87588680056609e-07, 4.857363295760163e-06, 2.5356530031062095e-06, -2.238464757755372e-06, 1.7747031925171006e-06, 1.3356476710765896e-05]",50,0.02,30,0.4,1.0,1.0
PSO,4,0.000344919668887389,"[1.3744940068239265e-05, 0.00011258560970569412, -0.00014617699626622393, 7.874865672602839e-05, 6.293983698981272e-05, -1.0794149517343944e-05]",50,0.02,30,0.4,1.0,1.0
PSO,0,2.12005336181683,"[-7.240470210528637e-07, -0.9391955322407775, -2.928133505119112e-06, 9.112367523537114e-07, -0.9391945761330209, 1.1081419562698746e-06]",50,0.02,30,0.4,1.0,1.5
PSO,1,1.5017465680622917,"[-7.61767351994751e-08, -2.2823499461839254e-06, 2.8425414095986245e-06, 4.894105018510282e-06, 2.6622211160466788e-06, 0.9078209673292105]",50,0.03,30,0.4,1.0,1.5
PSO,2,1.5017467638122395,"[-5.447086574898678e-05, -6.124438798894407e-05, 1.785726904656656e-05, -9.412976032873401e-05, 0.9078968763849921, -2.049296529758166e-07]",50,0.02,30,0.4,1.0,1.5
PSO,3,7.367122855317376e-06,"[4.3880992552721664e-07, 1.1658167607958753e-06, 2.136070192269856e-06, -2.6742946380194155e-06, 1.7847020887146027e-06, -1.9749549315602177e-06]",50,0.02,30,0.4,1.0,1.5
PSO,4,1.4957253850145236e-05,"[3.681678310971259e-07, -1.1812313829024479e-06, 2.9278524766436048e-06, 3.4876618686639483e-06, 6.80029723220567e-06, -3.92115231954434e-06]",50,0.02,30,0.4,1.0,1.5
PSO,0,2.8012563224599774e-06,"[6.250132801878332e-07, -1.8296303743260646e-07, -8.055931031566329e-07, -4.851039155903868e-07, -1.1451830940003426e-06, -5.68081456666306e-07]",50,0.02,30,0.4,1.5,1.0
PSO,1,0.0200196007556106,"[0.005731879775176308, 0.0015691149912574593, -0.0038714023827190387, 0.006988630481383659, 0.004123936463224565, -0.004115097806459238]",50,0.02,30,0.4,1.5,1.0
PSO,2,0.00812598344971649,"[0.004664523002985496, -5.269193240926842e-06, -0.00036664570682524067, 0.001177428823299383, 0.0004136348881570391, 0.00023882837196938654]",50,0.02,30,0.4,1.5,1.0
PSO,3,2.734039189267179e-06,"[-3.612893843052526e-07, 2.818466727324452e-07, -6.622021439925962e-07, 1.097235186300742e-06, 7.60097079806879e-07, 6.106643636971176e-07]",50,0.02,30,0.4,1.5,1.0
